    fertilizerMethodBaseSat: "Corrección saturación de bases",
    fertilizerPlanTab: "Plan nutricional",
    fertilizerSingleTab: "Por nutriente",
    fertilizerPlanDesc: "Metodología tutoría Fertilidad de Suelos: diagnóstico, suministro, demanda y dosis paso a paso.",
    fertilizerPlanMode: "Modo",
    fertilizerPlanModeFull: "Completo (diagnóstico + dosis)",
    fertilizerPlanModeDose: "Solo dosis",
    fertilizerPlanYield: "Rendimiento objetivo (t/ha)",
    fertilizerPlanDemandN: "Demanda N manual (kg/ha)",
    fertilizerPlanDemandP: "Demanda P₂O₅ manual (kg/ha)",
    fertilizerPlanDemandK: "Demanda K₂O manual (kg/ha)",
    fertilizerPlanDemandMg: "Demanda MgO manual (kg/ha)",
    fertilizerPlanCrop: "Cultivo",
    fertilizerPlanSummary: "Resumen de dosis",
    fertilizerPlanConclusions: "Conclusiones técnicas",
